GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Colletes hyalinus,below,ex,solitary,oligolectic,2.16842874,0.076870284,0.035449762,2.1686747,2.204082,2.183673,2.244898,2.040816,no,yes,0.57509651,0.213388206,1.549926313,1.017657831,0.45714991,2.265787146,0.793314604,0.315183977,1.914479796,2,0,1,0,0.950977571,Colletes hyalinus
Diadasia australis,below,ex,solitary,oligolectic,3,NA,NA,3,NA,NA,NA,NA,no,yes,0.908306963,0.283850786,2.906532518,1.409988379,0.538216929,3.693802855,1.275056056,0.427255821,3.585111529,0,1,0,1,NA,Diadasia australis
Diadasia bituberculata,below,ex,solitary,oligolectic,3.16,0.274266648,0.086793243,3.4,3.2,2.7,3.333333,3.166667,yes,yes,0.977248335,0.297115792,3.214283234,1.48553685,0.552466568,4.460089728,1.375678027,0.448576844,3.963817269,0,30,0,21,NA,Diadasia bituberculata
Diadasia consociata,below,ex,solitary,oligolectic,1.790731707,0.093101974,0.051991023,1.853658537,1.9,1.666667,1.733333,1.8,yes,yes,0.439255055,0.180348134,1.069847521,0.839674973,0.415201783,1.788768015,0.599715887,0.263431968,1.322581924,7,10,7,8,0.16361991,Diadasia consociata
Diadasia diminuta,below,ex,solitary,oligolectic,2.232,0.052153619,0.023366317,2.26,2.18,2.24,2.3,2.18,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,0.795121117,Diadasia diminuta
Diadasia enavata,below,ex,solitary,oligolectic,2.815121951,0.206067973,0.073200372,2.536585366,2.87804878,2.829268293,2.731707317,3.1,yes,yes,0.83049777,0.268415899,2.569618826,1.322715809,0.52127256,2.868924456,1.161843096,0.402530256,3.170415332,78,117,35,49,0.18931934,Diadasia enavata
Diadasia nigrifrons,below,ex,solitary,oligolectic,2.19375,0.150519932,0.068613075,2.40625,2.15625,2.03125,2.09375,2.28125,yes,yes,0.584574345,0.215576975,1.585174692,1.029595329,0.459826838,2.649814692,0.806893082,0.31863209,1.957920118,0,1,0,1,NA,Diadasia nigrifrons
Diadasia ochracea,below,ex,solitary,oligolectic,2.1166665,0.19148548,0.090465588,2.233333,2.166667,2.233333,1.833333,NA,no,yes,0.555862231,0.208904208,1.479064608,0.993256923,0.451628889,2.36829593,0.765784945,0.30812737,1.827142629,1,13,1,13,0.527242356,Diadasia ochracea
Diadasia rinconis,below,ex,solitary,oligolectic,3.625,0.088388348,0.024382992,3.5625,3.6875,NA,NA,NA,no,yes,1.185632718,0.335222568,4.193407833,1.705194924,0.591956975,4.784999401,1.6814067,0.510168961,5.168180274,0,8,0,6,NA,Diadasia rinconis
Dianthidium ulkei,mix,rent,solitary,oligolectic,2.019514961,0.167358036,0.082870411,1.836065574,1.93442623,2.233333,2.15625,1.9375,yes,yes,0.520279567,0.200452109,1.350401497,0.947466673,0.441082261,1.763259765,0.71495309,0.294853454,1.668540818,1,0,1,0,0.311803508,Dianthidium ulkei
