OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
138,DLCD,Comp Plan- See DLCD File,36856,GNIS,36856,DLCD,19930000,North Powder,24719.4336608,15723882.3486328,24719.4336607649
139,DLCD,Comp Plan- See DLCD File,29516,GNIS,29516,DLCD,20190000,Nyssa,49282.5105096,69018562.6617432,49282.5105096331
140,DLCD,Comp Plan- See DLCD File,9232,GNIS,9232,DLCD,19890000,Oakland,38444.8675476,27144939.6266479,38444.8675476248
141,DLCD,Comp Plan- See DLCD File,24912,GNIS,24912,DLCD,19890000,Oakridge,54376.7415234,66974922.4692993,54376.7415233539
142,DLCD,Comp Plan- See DLCD File,29518,GNIS,29518,DLCD,20190000,Ontario,98954.7251139,257869385.852905,98954.7251138636
143,DLCD,Comp Plan- See DLCD File,22775,GNIS,22775,DLCD,19800000,Paisley,17784.8636242,11686134.4315186,17784.8636241634
144,DLCD,Comp Plan- See DLCD File,35906,GNIS,35906,DLCD,20210000,Pendleton,175776.490328,371520098.78833,175776.490327647
145,DLCD,Comp Plan- See DLCD File,2106,GNIS,2106,DLCD,19800000,Philomath,53625.6691331,110535302.780334,53625.6691330812
146,DLCD,Comp Plan- See DLCD File,35907,GNIS,35907,DLCD,20060000,Pilot Rock,71358.2824324,68863701.0031738,71358.2824323721
147,DLCD,Comp Plan- See DLCD File,7079,GNIS,7079,DLCD,19800000,Port Orford,82997.5339096,167079616.743385,82997.5339095514
148,DLCD,Comp Plan- See DLCD File,5265,GNIS,5265,DLCD,19800000,Powers,41223.4742339,27270953.8417816,41223.4742338635
149,DLCD,Comp Plan- See DLCD File,11832,GNIS,11832,DLCD,19800000,Prairie City,31430.6610803,29501531.7999268,31430.6610802915
150,DLCD,Comp Plan- See DLCD File,4641,GNIS,4641,DLCD,19800000,Prescott,7104.68992875,2053851.19091797,7104.68992874838
151,DLCD,Comp Plan- See DLCD File,6080,GNIS,6080,DLCD,20170000,Prineville,165310.319516,437235579.585693,165310.319515963
152,DLCD,Comp Plan- See DLCD File,4643,GNIS,4643,DLCD,19800000,Rainier,80807.0131023,129686295.918518,80807.0131022946
153,DLCD,Comp Plan- See DLCD File,8094,GNIS,8094,DLCD,20250000,Redmond,136959.604503,584316855.848328,136959.604503431
154,DLCD,Comp Plan- See DLCD File,9238,GNIS,9238,DLCD,19800000,Reedsport,56550.4248225,122337535.136566,56550.4248224762
155,DLCD,Comp Plan- See DLCD File,565,GNIS,565,DLCD,19960000,Richland,17523.6168716,5079018.91064453,17523.6168715605
156,DLCD,Comp Plan- See DLCD File,9241,GNIS,9241,DLCD,20060000,Riddle,32392.8077097,18787010.7386475,32392.8077097396
157,DLCD,Comp Plan- See DLCD File,35046,GNIS,35046,DLCD,20210000,Rockaway Beach,58206.0269926,65416329.3773804,58206.0269926199
158,DLCD,Comp Plan- See DLCD File,16934,GNIS,16934,DLCD,19800000,Rogue River,55544.2524498,68127753.3320618,55544.2524498199
